"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
"10921619","2023-09-05T16:03:18-04:00",5.67237715067398,-67.6261621789895,627168.95392504,652144.547465528,"3,3"
"13058464","2023-09-05T16:00:35-04:00",5.67243096380797,-67.6257146257814,627175.021696289,652194.106652968,"4,1,4"
"13058470","2023-09-05T16:22:44-04:00",5.67199627537342,-67.6256083638943,627126.985112168,652205.990743841,"5,1,2"
"13714722","2023-09-05T16:10:07-04:00",5.67216629487051,-67.6259526617941,627145.694135247,652167.809941266,"4,1,2"
"14565991","2023-09-05T16:29:33-04:00",5.67196829521097,-67.6253801518461,627123.951226543,652231.27604356,"3,3"
"15303503","2023-09-05T16:45:40-04:00",5.67232848103353,-67.6249250250842,627163.897387273,652281.593790001,"3,1,2"
"15500536","2023-09-05T16:07:57-04:00",5.6721644528934,-67.6261398544492,627145.441311444,652147.075995493,"5,1,2"
"15500619","2023-09-05T16:05:19-04:00",5.67227184745668,-67.6261099241225,627157.324030143,652150.363084459,"4,2"
"1567362","2023-09-05T16:53:25-04:00",5.67189101403381,-67.6246110383788,627115.608164523,652316.487380151,"4,1,2"
"16766753","2023-09-05T17:06:49-04:00",5.6717027652836,-67.6252552285994,627094.62378895,652245.182834945,"5,1,2"
"16767811","2023-09-05T16:42:01-04:00",5.67248306500768,-67.6255090518067,627180.836643737,652216.863422717,"5,1,2"
"17106185","2023-09-05T16:18:36-04:00",5.67192833242512,-67.6258824586681,627119.400521554,652175.648384172,"3,1,2"
"18505456","2023-09-05T16:54:57-04:00",5.67185262550923,-67.6248142957615,627111.310036438,652293.983586865,"3,1,2"
"18506864","2023-09-05T16:38:20-04:00",5.67216329867972,-67.6256536253136,627145.44137317,652200.933560434,"5,1,2"
"18835879","2023-09-05T16:49:31-04:00",5.67224788476845,-67.6246855248427,627155.048615924,652308.143231237,"4,1,2"
"22930764","2023-09-05T16:14:05-04:00",5.67204245575901,-67.6257977255928,627132.041649934,652185.003945072,"4,1,2"
"25830119","2023-09-05T16:58:15-04:00",5.67174575726929,-67.6250656548228,627099.427317741,652266.169757164,"4,2"
"26754139","2023-09-05T15:58:36-04:00",5.67230053087361,-67.6256715616258,627160.610739569,652198.91085992,"3,1,2"
